452,102.64,512,0.02
512,103.1,632,0.05
572,109.65,752,0.04
632,108.77,872,0.04
692,108.52,992,0.03
752,108.37,1112,0.03
812,108.32,1232,0.17
872,108.05,1352,0.34
932,107.92,1472,0.32
992,107.84,1592,0.32
1052,107.83,1712,0.28
1112,107.82,2225,0.35
1172,110.25,2345,0.51
1232,114.89,2465,0.3
1292,119.41,2585,0.24
1352,120.29,2705,0.22
1412,120.85,2825,0.24
1472,120.18,2945,0.21
1532,120.05,3065,0.21
1592,120.54,3185,0.15
1652,120.56,3305,0.14
1712,121.79,,
1772,121.17,,
2165,119.81,,
2225,125.76,,
2285,130.37,,
2345,125.91,,
2405,121.76,,
2465,118.2,,
2525,116.1,,
2585,115.2,,
2645,115,,
2705,114.52,,
2765,114.23,,
2825,113.95,,
2885,113.3,,
2945,112.98,,
3005,112.33,,
3065,111.7,,
3125,110.93,,
3185,113.72,,
3245,110.57,,
3305,110.05,,
3365,109.7,,