103,110.04,163,0.05
163,109.06,283,0.04
223,108.24,403,0.03
283,107.19,523,0.05
343,107.42,643,0.04
403,107.46,763,0.05
463,107.55,883,0.05
523,107.33,1003,0.02
583,107.25,1123,0.05
643,106.9,1243,0.03
703,107.04,1363,0.03
763,107.48,1960,0.08
823,107.13,2080,0.13
883,107.1,2200,0.04
943,106.82,2320,0.03
1003,106.82,2440,0.02
1063,107.68,2560,0.01
1123,107.79,2680,0.02
1183,107.41,2800,0.02
1243,107.02,2920,0.02
1303,106.98,3040,0.02
1363,106.77,,
1900,106.49,,
1960,112.08,,
2020,115.06,,
2080,113.2,,
2140,110.01,,
2200,108.21,,
2260,106.74,,
2320,106.46,,
2380,105.72,,
2440,104.12,,
2500,104.73,,
2560,105.12,,
2620,104.86,,
2680,105.13,,
2740,105.39,,
2800,106.3,,
2860,106.09,,
2920,106.35,,
2980,105.6,,
3040,105.45,,
3100,105.98,,
3160,105.75,,